epoch,acc,loss,mean_squared_error,val_acc,val_loss,val_mean_squared_error
0,0.5420808792114258,0.28920385241508484,0.28920385241508484,0.5529467463493347,0.2822207510471344,0.2822207510471344
1,0.5940577983856201,0.26026371121406555,0.26026368141174316,0.5823115110397339,0.26624953746795654,0.26624953746795654
2,0.6401638984680176,0.2353239804506302,0.23532399535179138,0.6119915843009949,0.25074470043182373,0.25074470043182373
3,0.6712188124656677,0.21791167557239532,0.21791164577007294,0.6387091279029846,0.23669424653053284,0.23669426143169403
4,0.695216953754425,0.2037367969751358,0.2037367820739746,0.6642048358917236,0.22405299544334412,0.22405299544334412
5,0.7163363695144653,0.1915235072374344,0.1915234923362732,0.6862278580665588,0.21286480128765106,0.21286480128765106
6,0.7351776361465454,0.1808622032403946,0.1808622181415558,0.7058882713317871,0.20330925285816193,0.20330926775932312
7,0.7522385716438293,0.17158977687358856,0.17158977687358856,0.7237882614135742,0.19461356103420258,0.1946135312318802
8,0.768103301525116,0.1633942723274231,0.16339430212974548,0.7400526404380798,0.1867510825395584,0.1867510825395584
9,0.7819851636886597,0.1561247855424881,0.1561247855424881,0.7545368671417236,0.17979788780212402,0.17979787290096283
10,0.7943841218948364,0.14972072839736938,0.14972072839736938,0.7675650119781494,0.17373056709766388,0.17373055219650269
11,0.8054786920547485,0.1440041959285736,0.1440042108297348,0.7783706784248352,0.16825322806835175,0.16825322806835175
12,0.8153101205825806,0.13882631063461304,0.13882631063461304,0.7885348200798035,0.16343703866004944,0.16343702375888824
13,0.8243880867958069,0.13412903249263763,0.13412903249263763,0.7970304489135742,0.1591627299785614,0.1591627150774002
14,0.8327812552452087,0.12983804941177368,0.12983806431293488,0.8045145273208618,0.15546773374080658,0.15546773374080658
15,0.839619517326355,0.12593205273151398,0.12593203783035278,0.8110898733139038,0.15208281576633453,0.15208277106285095
16,0.8461624979972839,0.12238630652427673,0.12238631397485733,0.8174375295639038,0.14885006844997406,0.14885008335113525
17,0.8516391515731812,0.11919538676738739,0.11919538676738739,0.8227670192718506,0.14576904475688934,0.14576902985572815
18,0.8563606142997742,0.11631858348846436,0.11631858348846436,0.8277637362480164,0.14281275868415833,0.14281277358531952
19,0.8604356646537781,0.11372975260019302,0.11372976005077362,0.8327385187149048,0.1400498002767563,0.1400498002767563
20,0.863942563533783,0.11140545457601547,0.11140546202659607,0.8368790149688721,0.1375872939825058,0.137587308883667
21,0.86702561378479,0.10931174457073212,0.10931174457073212,0.8406122922897339,0.13518410921096802,0.13518409430980682
22,0.869727611541748,0.10741856694221497,0.10741857439279556,0.8435748219490051,0.1328226625919342,0.1328226625919342
23,0.8719044327735901,0.1057291030883789,0.1057291030883789,0.8462548851966858,0.13081304728984833,0.13081306219100952
24,0.8739553689956665,0.10420508682727814,0.10420508682727814,0.8488671183586121,0.12899461388587952,0.12899461388587952
25,0.8756710886955261,0.10282149165868759,0.10282149910926819,0.8508990406990051,0.12742966413497925,0.12742966413497925
26,0.8770378232002258,0.10156130790710449,0.10156130790710449,0.8531455993652344,0.12571993470191956,0.12571991980075836
27,0.8783392906188965,0.10041218250989914,0.10041218250989914,0.8550351858139038,0.12420538812875748,0.12420539557933807
28,0.8795424103736877,0.09935372322797775,0.09935372322797775,0.8567737340927124,0.12287449836730957,0.12287451326847076
29,0.8806231021881104,0.09837284684181213,0.09837284684181213,0.8581904172897339,0.12159479409456253,0.12159480154514313
30,0.8815023899078369,0.09747152030467987,0.09747152775526047,0.8596574664115906,0.1205429956316948,0.1205429881811142
31,0.8824137449264526,0.09664145857095718,0.09664146602153778,0.8607303500175476,0.1194448173046112,0.1194448173046112
32,0.8832135200500488,0.09587284922599792,0.09587285667657852,0.8617134690284729,0.11842384189367294,0.11842382699251175
33,0.8840007185935974,0.09516128152608871,0.09516128897666931,0.8629637360572815,0.11748865246772766,0.11748865246772766
34,0.8846821188926697,0.09449780732393265,0.09449780732393265,0.8639665842056274,0.11665620654821396,0.11665619909763336
35,0.8853909373283386,0.09387455880641937,0.09387455880641937,0.8647307753562927,0.11587762832641602,0.11587762832641602
36,0.8858920931816101,0.09329362958669662,0.09329365193843842,0.8654883503913879,0.11516725271940231,0.11516725271940231
37,0.8863417506217957,0.09275740385055542,0.09275738894939423,0.8659569621086121,0.11455762386322021,0.11455762386322021
38,0.8867879509925842,0.09225429594516754,0.09225429594516754,0.8665437698364258,0.11392677575349808,0.11392677575349808
39,0.8872056007385254,0.09178495407104492,0.09178495407104492,0.8669729232788086,0.11330530792474747,0.11330530792474747
40,0.8875917792320251,0.09134726971387863,0.09134726226329803,0.8673779964447021,0.11274580657482147,0.11274580657482147
41,0.8879516124725342,0.09093619883060455,0.09093619883060455,0.8678246736526489,0.11217896640300751,0.11217895895242691
42,0.88832688331604,0.09054571390151978,0.09054570645093918,0.8682801127433777,0.11165521293878555,0.11165522038936615
43,0.8887439370155334,0.09017318487167358,0.09017320722341537,0.868757426738739,0.1111433357000351,0.1111433282494545
44,0.8890368938446045,0.0898200273513794,0.0898200199007988,0.8690639734268188,0.11067604273557663,0.11067604273557663
45,0.8893743753433228,0.08948872983455658,0.08948872983455658,0.8695128560066223,0.1101483404636383,0.11014832556247711
46,0.8896690607070923,0.0891762226819992,0.089176245033741,0.8699113726615906,0.10969429463148117,0.10969429463148117
47,0.8899213075637817,0.0888812243938446,0.0888812243938446,0.8700668215751648,0.10923761874437332,0.10923761874437332
48,0.8902033567428589,0.08859973400831223,0.08859973400831223,0.8706207871437073,0.10879083722829819,0.10879083722829819
49,0.89046311378479,0.0883292630314827,0.0883292630314827,0.8708397746086121,0.10841705650091171,0.10841704905033112
